State,Census_Year,Census_Source,Census_Dataset,Census_Table,Population_Universe,Geography_Type,Geography_ID,Geography_Name,Population_18Plus,Hispanic_Latino_18Plus,Not_Hispanic_18Plus,Not_Hispanic_White_18Plus,Not_Hispanic_Black_18Plus,Not_Hispanic_AIAN_18Plus,Not_Hispanic_Asian_18Plus,Not_Hispanic_NHPI_18Plus,Not_Hispanic_Other_Race_18Plus,Not_Hispanic_TwoPlus_Races_18Plus
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48209,Hays County,185523,65543,119980,98950,7414,492,4018,120,730,8256
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48211,Hemphill County,2396,687,1709,1621,1,9,4,0,4,70
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48213,Henderson County,64930,7234,57696,50809,3636,337,406,31,148,2329
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48215,Hidalgo County,608225,549880,58345,45107,2682,483,6828,53,1090,2102
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48217,Hill County,27486,4990,22496,19682,1528,126,139,15,68,938
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48219,Hockley County,15937,7088,8849,7949,439,67,41,4,31,318
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48221,Hood County,49209,5137,44072,41276,336,280,366,34,126,1654
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48223,Hopkins County,27871,4077,23794,20634,1814,154,215,4,53,920
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48225,Houston County,17886,2207,15679,10917,4158,68,92,8,29,407
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48227,Howard County,26862,11985,14877,12658,1135,184,298,11,51,540
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48229,Hudspeth County,2667,1576,1091,1031,4,6,10,0,4,36
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48231,Hunt County,76143,12378,63765,52762,6116,602,811,99,210,3165
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48233,Hutchinson County,15430,3153,12277,10917,328,234,81,2,33,682
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48235,Irion County,1184,262,922,882,4,8,0,1,1,26
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48237,Jack County,6649,1029,5620,5135,276,31,29,0,2,147
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48239,Jackson County,11340,3282,8058,6899,682,36,108,0,68,265
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48241,Jasper County,25539,1456,24083,19005,4131,101,97,16,49,684
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48243,Jeff Davis County,1711,463,1248,1164,0,6,14,0,13,51
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48245,Jefferson County,195680,39717,155963,80230,62762,528,7754,53,612,4024
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48247,Jim Hogg County,3516,3077,439,335,4,11,19,0,8,62
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48249,Jim Wells County,28630,22115,6515,5695,136,52,112,14,63,443
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48251,Johnson County,133965,27491,106474,93594,4819,690,1378,532,428,5033
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48253,Jones County,16187,4302,11885,9555,1880,51,86,0,20,293
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48255,Karnes County,11855,5805,6050,4614,1063,26,130,1,54,162
